Tabby,Anton,Sarah,text
-1,-1,-1,RT @polishprincessh: Jumping our border knowing that this will get media attention. Basically flipping every American citizen off by entering our country illegally & laughing in our faces while doing it. This is an invasion & should be met with military force. #BuildTheWall
0,0,0,"RT @news4anthros: Anthropologist @fionae reflects on ""twilight of knowing and not knowing"" both at the National Museum of African American…"
0,0,0,#BrieitbartNews World View: How the First Thanksgiving Led to American independence: Contents: The First… https://t.co/7HYLisw9x0 #News https://t.co/Uljm6pm00H
0,0,0,RT @tribelaw: The email about which Grassley and Graham are badgering Susan Rice should make every American proud of how Obama and his team…
0,0,0,"RT @FoxBusiness: .@AmbJohnBolton: Every American citizen, has to ask the question: Are we prepared to live under the continuing threat of a…"
-1,-1,-1,@Helmut_Weigel @billis820 @thehill Answer me this why the outrage for their children and not Americans children. When a American citizen breaks the law they get put in jail and are separated from their children. Why is it worse for illegals than it is for Americans.
0,0,0,RT @SteveSchmidtSES: This American citizen demands to know the precise evidence that led to the termination of a 21 year FBI senior leader…
-1,-1,-1,"RT @RepBenCline: The Biden Administration has halted construction of the border wall, proposed mass amnesty for illegal immigrants, and sug…"
0,0,0,"RT @kylegriffin1: 11-year old Naomi Wadler: ""I am here to acknowledge and represent the African-American girls whose stories don't make the…"
0,0,0,Telling a Story a Century in the Making - Have you seen our #NMAAHC case study? #design #UX #mobile #DC @NMAAHC https://t.co/dVQNl7birs https://t.co/Q87wDuDHin
-1,-1,-1,"RT @latimes: San Bernardino woman, detained by ICE despite being a U.S. citizen, sues https://t.co/ByhH7FkImV https://t.co/RntDAMEmpC"
0,0,0,"RT @cliffordlevy: @maggieNYT @jimrutenberg “It’s all the stuff — all the stuff, because you never know,” Michael Cohen said.
That's what @j…"
-1,-1,-1,"@runnin1ife @DailyCaller Then the ""majority"" of Americans would not be moaning about being ""left behind and forgotten"". In short, if an American citizen feels that a factory making chicken to feed Americans doesn't pay well enough, then there is a big problem."
0,1,1,"RT @FoxNews: .@jasoninthehouse: ""For those of us that do abide by the law, guns keep us more safe...as an American citizen I have...right t…"
0,0,0,"RT @LinksGems: Southampton, NY: the cradle of American golf. National Golf Links &amp; Shinnecock Hills, with Sebonack front right &amp; Southampto…"
-1,-1,-1,"RT @chuckwoolery: I have to admit, I just don't get it. We don't house feed and cloth every American citizen, so why do we obligate ourselv…"
0,0,0,RT @olgaNYC1211: Trump is a Treasonous Russian Agent bastard. How dare he even discuss Russians questioning @McFaul or any other American c…
0,1,0,"RT @FoxNews: Escondido man: ""I came to this country 45 years ago with me and my mother. Okay? 45 years ago we were not offered sanctuary...…"
0,0,0,"RT @david_d1421: Hey #Strzok, You’re a disgusting feckless anti-American conspirator who tried to interfere with and manipulate the outcome…"
0,-1,0,"RT @NBCNews: Aiko Herzig-Yoshinaga, who uncovered proof that thousands of Japanese Americans incarcerated in the US during WWII were held n…"
0,1,1,"RT @FBIAgentsAssoc: @tfoconnor83 (2/3) “Every day, FBI Special Agents put their lives on the line to protect the American public from natio…"
0,0,0,"Western will host Brian Cladoosby, president of the National Congress of American Indians Feb. 9 in Fraser Hall 101 https://t.co/9FiL3XVEn2 https://t.co/g2YvWnmnx2"
0,0,0,Taking sides in the perennial sectarian feud between Sunni and Shia in the long run inimical to American national security and interests
0,0,0,"RT @FoxBusiness: .@Nigel_Farage: ""If I was an American citizen, I wouldn't vote for Hillary."" https://t.co/fwJZA3ia2x"
0,0,0,RT @VP: Congratulations to new National Security Advisor John Bolton. @AmbJohnBolton is a highly respected American patriot who will bring…
0,0,0,"September 2, 1941, John R. Thompson, Jr., hall of fame basketball coach and the first African American head coach to win a National Collegiate Athletic Association Division I Championship, was born. He was inducted into the National Collegiate Basketball Hall of Fame in 2006. https://t.co/8a6IY3G6NL"
1,1,1,Woah woah woah why are they singing the Canadian national anthem? This is america and NBA is an American Association
0,1,0,RT @w_terrence: I never experienced racism &amp; hatred until I voted for Trump. I’m just an American Citizen supporting the President of the U…
0,0,0,"RT @RepMattGaetz: I call on every American citizen to read this memo, not with preconceived partisan rancor, but with clear eyes and open m…"
0,0,0,"RT @TheMarkRomano: Remember when Obama's National Security Advisor repeatedly lied to the American People about Benghazi?

She kept her job…"
0,0,0,"RT @WHCOS: Thanks to the accelerated vaccine roll out and the American Rescue Plan, @POTUS has become the first President ever to oversee t…"
0,0,0,RT @Public_Citizen: Why would congressional Republicans ram through one of the least popular tax proposals in recent American history? Two…
0,0,-1,The President Speaks on National Jewish American Heritage Month http://t.co/UOMZ6waB9L via @YouTube
0,0,0,"RT @JayInslee: You’ve heard it said when it comes to terrorism: if you see something, say something. So I’m saying something. This presiden…"
0,1,0,"RT @tribelaw: This isn’t just pathological; it borders on the Article III definition of “Treason,” which occurs when an American citizen gi…"
-1,-1,-1,RT @WhiteHouse: The decline of American steel and aluminum production has resulted in extensive job losses for hardworking Americans in ind…
1,1,1,"RT Maybe every American, at every public event that plays the National Anthem, should take a knee until we no longer have a traitor as president. 
#TreasonSummit"
0,-1,0,"RT @StephenKing: Mollie Tibbetts may well have been killed by an undocumented alien, and that's a terrible thing. But we might remember tha…"
0,0,0,RT @sportydinah: This is in the National Museum of African American History and Culture lmaoo https://t.co/jCj6V2mB7q
-1,-1,-1,RT @newtgingrich: When a baby is born it is an American citizen. Infanticide is therefore an act of murder. The federal government should p…
0,0,0,RT @PatStone63: The American People who voted for Donald Trump gave up our National Sovereignty and handed it over to Putin and the Russian…
1,1,1,"RT @TranslateRealDT: ""We should beware of the demagogues who are ready to declare a trade war against our friends, weakening our economy, our national security, and the entire free world, all while cynically waving the American flag. The expansion of the international economy is not a foreign invasion, it is an American triumph.”"
0,0,0,Full Show - CIA Caught Lying To American People / Trump Takes National L...  #YouTube #TheAlexJonesChannel https://t.co/6KIyBfueOM
-1,-1,-1,RT @LOLGOP: It's not like Donald Trump would ever pretend an American citizen wasn't actually born here. https://t.co/rgg3FUfmIA
1,1,1,"RT @DutytoInform: ""A political movement that claims to be dedicated to the recovery of national greatness has... completely abandoned many defining national ideals. Donald Trump’s promise of American strength has involved the betrayal of American identity,"" "
0,0,0,"Oklahoma State just won the national championship! ... of 1945

 https://t.co/O4OpPRCWuX by #espn via @c0nvey"
0,0,0,RT @danieteebee: My head is still spinning from reading that Pfizer asked Latin American countries and South Africa  to put up sovereign as…
0,0,0,"RT @SallyAxworthy: Today’s #stationchurch is S. Susanna on Quirinal hill. Started c. 280 in homes of Caius and Gabinus, latter the father o…"
-1,-1,-1,"@BobbyJHays @nytimes His wife is an American born citizen as are his two children. They’ve been trying to get his citizenship status corrected, unfortunately with the help of an inept lawyer, since 2005."
-1,-1,-1,"RT @Strandjunker: Trump’s ex-wife Ivana wasn‘t an American citizen until 1988. She gave birth to Don Junior in 1977, Ivanka in 1981, and Eric in 1984. Let’s cancel their birthright citizenship first. "
0,0,0,RT @BTS_National: BTS Performs at AMAs - K-Pop Group BTS Makes U.S. TV Debut at American Music Awards 2017 (https://t.co/M7xlZKbnTR) @BTS_t…
0,0,0,@UndercoverMocro @Ledeffman96 oke vraag aan chris brown wat hij is we gaan zien of hij afrikaan ga zeggen ofs rustig american citizen
0,0,0,"RT @CubsDen: The Cubs Can't Even Win Fake Games - All Star Recap: American League 2, National League 1 @sth85... https://t.co/IC1GN63eWh"
-1,-1,-1,"@no_silenced After the Civil War, we didn’t send slaves back to Africa, we united with them as citizens.  Citizenship is a precious gift for all of us and American blacks should take it as an INSULT to there heritage that citizenship is thrown out like candy to people who break our laws."
0,0,0,"RT @dscc: The National Archives can't release Brett Kavanaugh's full record until late October, but Mitch McConnell wants to hold a vote on…"
0,0,0,"RT @CRTV: FLASHBACK: Clarence Thomas responds to Anita Hill's allegations against him...

""This is a circus; it's a national disgrace. And…"
0,0,0,@FoxNews @JudgeJeanine Go after? A judge who thinks you should go after an American citizen. Nice. I wonder who she we@t after in her courtroom?
0,0,0,RT @Swamy39: Another anti national virus introduced is CIBIL. It is American controlled &amp; have access to all loan data for credit rating of…
0,1,1,"RT @ABC: Pres. Trump's move to shrink two large national monuments in Utah triggered outrage among Native American leaders, who vowed take…"
1,1,1,"RT @sdnorton: Disney's Mulan actress, Liu Yifei, supports police brutality and oppression in Hong Kong. Liu is a naturalized American citizen. it must be nice. meanwhile she pisses on people fighting for democracy."
0,0,0,RT @CTVNews: Pentagon chief calls for 'new vision' for American defence https://t.co/lniNlcJ7c9 https://t.co/CHHRUV4o0J
1,1,1,"After the Supreme Court’s landmark decision upholding DACA, it’s time for the Senate to vote on the American Dream and Promise Act to permanently protect Dreamers with a pathway to citizenship. 

@SenCortezMasto and I are calling on Senate leadership to act. https://t.co/WsQsd6J461"
0,0,0,RT @nbcwashington: The Smithsonian Institution will open the National Museum of African American History and Culture on Sept. 24 https://t.…
0,0,0,"nyfw: Last night VP-elect @kamalaharris wore @pyermoss  at the National Mall where lamps were lit in honor of the nearly 400,000 American victims of the coronavirus pandemic. Photo by @gettyimages. https://t.co/Rk4tMWhQKg"
0,0,0,RT @NCPPRMedia: BOOKED: 9/26 @Project21News' @chris_arps talks with @KathleenAntrim on @AlanNathan's @mainstreetradio about how noncitizen…
0,0,0,RT @RepJeffries: House Dems: Trump pressured a foreign government to target an American citizen for political gain. Jim Jordan: Those are not the facts
0,0,0,"RT @JLynnFraser1: ""Report finds North American skies quieter by 1.5 billion fewer #birds "" https://t.co/UYGHs8apfs #Ornithology #nature #en…"
1,1,0,"RT @HuffmanForNC: .@realDonaldTrump, you have threatened the life of an American citizen of the United States. You are bringing shame on th…"
0,0,0,"RT @johnpavlovitz: A few bits of news from the Scriptures for Republicans:
Jesus was born in the Middle East.
He didn’t speak English.
He w…"
0,0,0,RT @FLOTUS: It was an honor to visit the Smithsonian National Museum of African American History @NMAAHC https://t.co/rai8keSoEN
0,-1,-1,"RT @USArmy: November is National Native American Heritage Month, read more about their immeasurable contributions to the #USArmy https://t.…"
0,0,0,"RT @_MattBoswell: If @SenSanders is responsible for his supporters actions, then centrist candidates are responsible for the illegal offens…"
-1,-1,-1,RT @NancyPelosi: .@realDonaldTrump has made it clear he doesn't know the difference between American patriotism &amp; white nationalism. https:…
0,0,0,RT @sacca: American citizen. 68-years-old. Domestic flight. Strip searched. You and I are next. https://t.co/dlKn9rrvfJ
0,0,0,RT @IvankaTrump: Tune in to @SquawkBox at 7:30am EST today live from the @WhiteHouse. I will discussing today’s launch of the National Coun…
0,0,0,RT @SenFeinstein: BREAKING: The National Archives won't complete its production of even the limited number of Brett Kavanaugh's records Rep…
1,1,1,"@TheDailyBail Sessions disrespected the justice system, an American citizen and federal judge. Which state I'd rather live in Alabama or Hawaii??"
-1,-1,-1,"RT @TimRunsHisMouth: The murderer at the Capitol was an African-American member of the Nation of Islam... Sooo... without being able to pin it on white nationalism, guns, or Trump you'll never hear about this story again in the corporate media after today."
0,0,0,"Professional associations:
• American Institute of Certified Public Accountants: https://t.co/AGFRncWiDx 
• National Association for Enrolled Agents: https://t.co/77HZhYL6JG
• American Academy of Attorney-CPAs: https://t.co/iNB3JyKMMe"
0,0,0,"RT @NBCNews: Director of National Intelligence Coats on threats to U.S. elections: https://t.co/bKDvZ1upGX

""We need to inform the American…"
0,0,0,"RT @PlaysTrumpCard: ""cutting deals with Russians"" was specifically proven to have not been done by ANY American citizen by the #MuellerRepo…"
-1,-1,-1,RT @bullcitybrian: “...some evangelicals are focusing on the Christian nationalism of their coreligionists precisely as a means of obscurin…
0,1,0,"RT @AmyMek: Uncovered New Info! Imtiaz Mohammad the muslim immigrant from Pakistan who became a U.S. citizen 4yrs ago & is running unopposed for FL House of Representative for 2020 election feels: “America [is] run on hate” and ""American people are the most uneducated nation in the world."""
1,1,1,RT @SkyNews: A number of American football players kneel during the national anthem in protest against police brutality and racism https://…
-1,-1,-1,"RT @StewardshipAmer: @realDonaldTrump Every American ought to be thankful to God, that 
@realDonaldTrump
 is President. He is restoring American sovereignty, economic nationalism, and US military strength. He is reinforcing the Constitution, and the nation's Chief Cornerstone. In short, he is preserving our liberty"
0,0,0,RT @BTS_National: [ARTICLE] BTS Surge Up Album &amp; Song Charts Following American Music Awards Performance @BTS_twt #<U+BC29><U+D0C4><U+C18C><U+B144><U+B2E8> (https://t.co/Jueu…
0,0,0,"RT @marcorubio: It’s a very simple question,should #ZTE a company subsidized &amp; ultimately controlled by #China govt &amp; which poses a natl se…"
0,0,0,RT @First_Focus: Native Children Are Facing A 'National Emergency.' Now Congress Is Pushing To Address It. - Huff Post http://t.co/CxndlJv1…
0,0,0,"RT @NPR: Q: Can a U.S. president single-handedly order the surveillance of an American citizen?

A: No.
https://t.co/HNxarooLvx"
0,0,0,RT @ThatBoy_Deej: Feeling like an American citizen and what not #FeelTheBern
1,1,1,@aModLib @Willyhuntin @AOC My family came here legally. Did it the right way. I have no problem with people coming to our country. Being a American citizen is a privilege not an entitlement.
0,0,0,"RT @C_3C_3: Why the American people hate the media:

Private citizen, Sean Hannity’s personal financial info leaked and immediately publish…"
0,-1,0,RT @MariaTCardona: Thank you Donald Trump!  American Citizen Faced Deportation | NBC Chicago https://t.co/pyBiJzpgG8 via @nbcchicago
0,0,0,"RT @officialEFCC: The quartet were arrested in Delta State sequel to intelligence gathering and information received from their victim, Pat…"
0,0,0,"RT @mark_selby723: @SenFeinstein Feinstein instructed the president to stop “attacking” the FBI, ignoring advice from his national security…"
0,0,0,"RT @SenatorMenendez: #6MonthsAfterMaria, and Puerto Rico is still in crisis. National attention may have waned, but tens of thousands of Am…"
0,1,0,@TheFive @kimguilfoyle Do you have to be an American citizen to purchase a gun ?? Can a legal immigrant buy a gun ?? Please ans today
0,0,0,"RT @jstreetdotorg: Alarmed by the Pompeo nomination and corrosion of the State Department, 197 former US ambassadors and veteran diplomats…"
0,0,0,"RT @lisastark351: Let me get this straight...

We are sending troops to Saudi Arabia. 

The same Saudi Arabia where most of the 9/11 hijack…"
0,-1,-1,"RT @EliseStefanik: “Elise has intelligence, an endorsement from American Patriot Brandon Judd and the National Border Patrol Council, she h…"
0,0,0,RT @RonFromLasVegas: #MLB WILDCARD LEADERS: NATIONAL LEAGUE #CUBS &amp;  #PIRATES  ARE IN : AMERICAN LEAGUE #YANKEES WIN &amp; #ASTROS #ANGELS #TWI…
-1,-1,-1,"RT @kylegriffin1: Chinese-born American citizen Xinyue 'Daniel' Lou, a U.S.-based promoter for the Chinese Communist Party with ties to Cin…"
1,1,1,"RT @GeoffRBennett: New national Quinnipiac poll:
 -74% of registered voters say American democracy is under threat
-81% say extremism is a big problem in the U.S.
-56% hold Trump responsible for the storming of the Capitol 
-53% say Trump should resign 
-52% say Trump should be removed from office
 -74% of registered voters say American democracy is under threat
-81% say extremism is a…"
0,0,0,"RT @NewsandGuts: .@TheWeek: Gold Star dad Khizr Khan cancels Toronto speech after being told his travel privileges are under review:
https:…"
0,0,0,RT @POTUS: Launching a national vaccination program to quickly and equitably vaccinate America — that’s the American Rescue Plan. https://t…
0,0,0,"RT @voices4hillary: Former intelligence chief, James Clapper - Putin did indeed sway the 2016 vote. The  director of National Intelligence…"
0,0,0,"RT @ddale8: Jacqueline Pata, exec director of National Congress of American Indians, tells me the issue is he's using the name of a real, r…"
0,0,0,"RT @scottsantens: Curious about who @SteveScalise is representing? It's not Louisiana. Look at his top 20 donors:

<U+0001F4B5>Verizon Communications…"
0,0,0,@ta2t2o @YouNicks @JulyJane @LoriCerisano @jeff_bouchey @Bryson_M @newtgingrich If an American citizen is intercepted while monitoring a foreign agent. They cannot unmask them. They must get a warrant. Keep up.
0,0,0,"RT @biblioracle: If you're reading about the National Prayer Breakfast and thinking that's messed up, there's a great book that got there a…"
0,0,0,'Picturing Children' Shows More Than A Century Of African-American Childhoods: The National Museum of African... https://t.co/bMFjrK6xPT
-1,-1,-1," @bartleyamandaj @DesmondCole Yes, this is an important reminder. What's happening in the US isn't an American thing. It's a white supremacist thing. And that's a thing that does not recognize national boundaries."
-1,-1,-1,RT @GOP: “We can’t be a sovereign country if we don’t have borders and we don’t have protection of the American citizen.” -@PressSec Border security is national security
0,0,0,"RT @PalestinePR: Rachel Corrie, an American citizen, was brutally murdered by an Israeli soldier.  Her crime: daring to show solidarity wit…"
0,0,0,RT @funder: I don’t appreciate being lied to @SpeakerRyan. Especially when it has to do with national security. You told the American publi…
0,0,0,RT @NMAAHC: REMINDER: We will be live-tweeting our #IlluminateNMAAHC event today at 4pm. Watch live: https://t.co/RrkSqbfm0A https://t.co/L…
0,0,0,"RT @DavidCayJ: Arpaio is as guilty as it gets – he knowingly deliberately violated the law, even jailed an American citizen because of his…"
-1,-1,-1,"No, it means I'm a patriotic American citizen who believes in the COTUS, who will resist fascism until his dying breath.

@seanburke1888"
0,0,0,Hayward: China’s Censorship Ideals Take Root on the American Left https://t.co/l4OszwnB8l via @BreitbartNews
-1,-1,-1,"RT @RyanAFournier: If you’re not an American citizen, you should not be receiving the same benefits that citizens receive.

We spend billio…"
0,1,0,"RT @SenWarren: The only thing shocking about the GOP's partisan memo is the contempt its release shows for the rule of law & American national security. Russia is still trying to undermine our democracy – until this government starts putting this country ahead of politics, we are all at risk."
-1,-1,-1,"RT @WordswithSteph: They call themselves Patriot Front.
Masked Nazis, traipsing hate through the streets of DC. Daring to parade American flags as they vow to RECLAIM AMERICA. Filthy white nationalism. Totally Trump-inspired. Trump-two-three-four."
0,0,0,I remember seeing this in action. I'm old. @ National Museum of American History https://t.co/2q4dtuULbM
0,0,0,"RT @Comey: That’s it? Dishonest and misleading memo wrecked the House intel committee, destroyed trust with Intelligence Community, damaged…"
0,0,0,"RT @CBSNews: ""I am here to acknowledge &amp; represent the African-American girls whose stories don't make the front page of every national new…"
1,1,1,@SteveKerr If you run I’ll personally go through the process of becoming an American citizen just to vote for you #Kerr2020
0,0,0,RT @VirginiaInCal: How can the American ppl even think of nominating Hillary 4 President when she can't be trusted w/National Security! htt…
0,0,0,@CellardEleonore We have in Islamia College Peshawar library  a copy of 'Kitab AL Aaghani ' .Every time time  the name Mohammad occurs it is written  in gold . Seeing it the American ambassador remarked ' put this book in an international  auction house half of national debt will be served .
1,1,1,"RT @MikeOkuda: The Confederate flag is literally the symbol of traitors who renounced their American citizenship, fought against the US, enslaved humans, and who killed those who defended my country. Those who display this symbol of hate are disrespectful in the extreme of the United States."
0,0,0,"I’m a 6’0 PG, averaged 33 PPG,5APG, 5SPG on a National Schedule and was Nominated for the McDonald’s All American Game and is still OVERLOOKED. Let that sink in."
0,0,0,"RT @SarahKSilverman: Call 202-224-4751
My name is ______ I am from ____ I am an American citizen &amp; I oppose Steve Bannon being confirmed 2…"
0,0,0,"RT @actual_chaos: @bennyjohnson If Mueller proved the Dossier is false, what do libs think Horowitz is going to conclude about a FISA Warra…"
0,1,0,RT @NatGeo: No animal better represents U.S. history more significantly (and uncomfortably) than the American bison. https://t.co/f3odXpOGBF
0,0,0,#therobertdrakesmedianetwork.com/tv/ https://t.co/77BblICSOJ
1,1,1,"RT @Ameya_Pawar_IL: I’m a proud Hindu and the first Indian American elected to Chicago City Council. I’m extremely disappointed and ashamed the @WHCongress would invite speakers and organizations that promote discrimination, Islamaphobia, and Hindu nationalism. This is not who we are."
0,0,0,RT @PastorDScott: This is the most pathetic final press conference of any President I've heard in my 58 years as an American citizen!!!
0,0,0,Consolation has become the new American national pastime.
0,0,0,@FoxNews Hillary was American citizen smacked!
0,0,0,"Then nOW, i SENSED=FELT an AMERICAN CITIZEN WOMAN saying:

""YOU KNOW WHAT I THINK??'
THAT IF PETER IS SINGLE NOW &amp; EVEN IF HE DOESNT LOVE HER, HE WILL END UP FALLING IN LOVE WITH HER &amp; THIS IS GONNA HAPPEN ANYTIME NOW""

*im watching a movie in the kitchen w/ my dog bkz Im cooking https://t.co/8OyzZmMadf"
0,0,0,"RT @Jim_Jordan: Horowitz confirms Dossier was false, but the FBI misled the FISA court 17 times to get a warrant to spy on an American citi…"
0,0,0,RT @timkaine: Secretary Mattis protects this nation against the worst instincts of a President who puts our national security at risk. His…
0,0,0,I added a video to a @YouTube playlist https://t.co/wZWE1HBIcP National Museum of African American History and Culture Grand Opening
0,0,0,"RT @KamalaHarris: No American citizen should be left clamoring for help after a devastating hurricane. 
https://t.co/0vnHQ33SG1"
0,0,0,"RT @kennardmatt: Read this private exchange btw Nixon and Kissinger in 1971, debating whether to do a coup in Bolivia. 

So revealing of ut…"
0,0,0,RT @ChinaFile: It is not clear how long China's Party-state’s effort to prevent young Chinese from thinking for themselves can hold https:/…
0,0,0,"RT @jidk1187: Dear @realDonaldTrump I found the perfect quote, which I’d like to share w you: “An American president is entitled to full co…"
0,0,0,RT @NAACCR: The North American Association of Central Cancer Registries (NAACCR) is seeking a full-time CTR to work on the National Childho…
0,0,0,"RT @RealVinnieJames: <U+0001F6A8>Please ReTweet this <U+0001F6A8> until EVERY American citizen has seen it. The @ACLU, the MSM and the Protestors are DEAD WRONG.…"
0,0,0,"RT @KanchanGupta: Fact: Almost all countries, most notably democracies, have sedition laws. Most of them are more stringent than that in India. Australian law is way tougher. Treason, American variant of sedition, is punishable by death.
Opinion: National integrity and security demands this law."
0,0,0,I'm going to be so mad if I have to get a visa to travel to Europe after waiting so long to be an American citizen lol
0,0,0,"@javalowe50 for every responsible American citizen that is outraged by the past two years, there are three or four people who don't even know what a Pence or a Kavanaugh is?"
-1,-1,-1,"RT @clivebushjd: @NancyPelosi refers to CHIP funding ""doggy-doo"". So DREAMERS come before American Citizen DREAMERS. Think about that for a…"
0,0,0,"RT @WalshFreedom: Trump wasn't misinterpreted. 

He publicly gave a pass to a brutal dictator who killed a 22 year old American citizen.

N…"
0,0,0,RT @gainesm: @JeremyKonyndyk I kinda think every American citizen living in Puerto Rico should relocate to a Red State prior to 2020 - and…
0,0,0,"RT @CBSNews: Instead of visiting the White House to celebrate their recent NBA championship, the Golden State Warriors toured the National…"
0,0,0,"RT @ClaireMPLS: Friendly reminder that @IlhanMN is an incredible congresswoman, woman, mother, and American citizen and that as someone who…"
0,0,-1,"RT @AmandiOnAir: Fellow citizens &amp; American patriots, we are experiencing a NATIONAL EMERGENCY. 

Please call 202-224-3121 this moment and…"
0,0,0,"RT @thecrisismag: #BornOnThisDay in 1898, Septima Clark was a Black American educator and civil rights activist who developed the literacy…"
-1,-1,-1,RT @polishprincessh: Bringing illegals to the State Of The Union is an insult to each &amp; every American CITIZEN whom would love to have the…
0,0,0,"RT @BerniceKing: Jesus was not a white, American man. 

The U.S. flag is not a symbol for the Church or for Jesus.

The National Anthem is…"
0,0,0,"RT @SethAbramson: 38/ Process this: Devin Nunes, a known Trump agent, went before banks of national television cameras and told American vo…"
0,0,0,"Indian Army may acquire 39 American Apache choppers to enhance fire power at Pakistan, China borders https://t.co/qRnqmi7Cya"
0,0,0,RT @WhiskersCrowley: Who are the traitors here? National guard arresting #StandingRock veterans for protecting American citizens from bruta…
1,1,1,"RT @JoeBiden: Our president should be able to meet a simple test: understanding that Puerto Ricans are American citizens, and that they are entitled to—and deserve—the same support from the United States government as every citizen. Donald Trump has failed that test."
0,0,0,"@michikokakutani @DeniseDresserG @WSJ If Russia is guilty, why an american citizen is in jail for leaking DNCs emails to wikileaks?"
0,0,0,"RT @FrankLuntz: “American life expectancy declined for the second consecutive year, fueled by a staggering 21% rise in drug overdoses.

The…"
-1,1,1,RT @mmpadellan: I am literally sick to my stomach watching a video of merciless trump Blue Lives Matter thugs beating a police officer with the American flag. The same American flag THEY said we were disrespecting by kneeling quietly during the National Anthem. I hope they all rot in prison.
0,0,0,RT @ortile: I have my oath taking at the Philippine consulate today to reclaim Filipino citizenship (which I had to give up to be 'naturali…
1,1,1,RT @HeyTammyBruce: Trump signs executive order to build National Garden of American Heroes to combat 'dangerous anti-American extremism' ht…
0,0,0,"RT @TheLoyalO: ICE is detaining a child who is a U.S. citizen.

Yesterday, Customs &amp; Border Protection detained three U.S. citizen children…"
0,0,0,"RT @DaveBautista: For the life of me I can’t understand why every working class American citizen is not out supporting the hell out of 
@SenSanders
 ! Look at his consistency! Look at his stand on big Pharma, corporations, and healthcare for all! Bernie is NOT FOR SALE! It’s a goddamn no brainer!"
1,1,1,"RT @alisciaandrews: What a great citizenship story for this hero! A true American! <U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8>

https://t.co/vGJxZJiMjN"
0,0,0,RT @essenviews: Hypocritical House Republicans praised doctors when honoring National Doctors' Day — after voting against funding for rural…
-1,-1,-1,@PalmerReport @realDonaldTrump Racist Muslim ban????are you even a citizen of the USA??????move to the Middle East......POS.....your not an American!!!!!!
0,0,0,RT @ananavarro: THEN: Trump was quick to demand a public apology from the cast of a Broadway play for addressing Mike Pence about American…
0,0,0,More than 200 former diplomats are alarmed at the state of American diplomacy https://t.co/UVFJeGrAKi https://t.co/hjTraK7YAg
1,1,1,"RT @MMFlint: 62 years ago today, Rosa Parks was arrested for refusing to move to the back of the bus & a revolution was ignited. Someday we’ll make this a national holiday- a reminder to all that to be an American requires resistance to injustice & madness. In 2017, we all must be Rosa Parks."
0,0,0,Bringing Native American Stories to a National Audience https://t.co/OKusasaulr via @NiemanReports
-1,-1,-1,"@brycetache @windmillcharger Nationalist by itself is just as bad. Back in the day, say the 1850s,  the No Nothing party had the the same ideology. American nationalism. They to were hostile to immigration. They died in 1860. It doesn't need to rise again. Vote Blue.."
0,0,0,"RT @NBCNews: Grand Rapids will pay $190,000 to a Latino American war veteran who was wrongfully detained by ICE. https://t.co/9xKZ13Eg9e"
1,1,1,RT @CollegeGameDay: Ain't much that's more American than the National Anthem at Army Navy. https://t.co/ODtV1EyETs
1,1,1,RT @ACTBrigitte: Immigration is a beautiful thing when done LEGALLY and with a citizen who loves America and wants to assimilate into American culture 
0,0,0,"RT @SecArmy: I invested time today to get a clear understanding of the task, purpose, and role of our National Guardsmen during this challe…"
0,0,0,RT @politico: How should the U.S. approach concerns about extremism among American Christians? And what role can faith leaders play in tryi…
0,0,0,"RT @LBC: Lady Gaga performs the American national anthem at President-elect Joe Biden’s swearing-in ceremony.

Follow #InaugurationDay live…"
-1,1,1,"RT @polishprincessh: ""Dreamers"" need to leave & apply for citizenship just like everyone else. Its an honor to become an American Citizen. There’s a process all they need to do is follow. We’re expected to follow laws & they’re breaking it being here illegally.
#AmericaFirst
#AmericansAreDreamersToo"
0,0,0,"RT @EliseStefanik: The immigration and humanitarian crisis at our southern border is also a national security risk. 

President Biden needs…"
-1,-1,-1,"@SenSchumer @realDonaldTrump Color is irrelevant. If you are not an American citizen you do not count in determining districts and number of reps. Plain and simple. Stop illegals now. Now legislate, don’t investigate!"
0,0,0,RT @thewanreport: There are clear signs U.S. science is quickly approaching tipping point of being overtaken by China. Digging into the num…
0,0,0,"RT @SenRubioPress: That includes American citizen &amp; NASA scientist #SerkhanGolge, U.S. Embassy locally employed staff, father of NBA player…"
0,0,0,"RT @HistoryInPics: American soldiers escorting Dutch children dressed in national costume, 1944. https://t.co/SjRsYALFQ6"
0,0,0,"RT @ManhattanDems: The official portraits of President Barack Obama and First Lady Michelle Obama by Kehinde Wiley and Amy Sherald, the fir…"
0,0,0,"RT @Orioles: On Sept. 18, we'll recognize the 40th anniversary of @NFB_voice moving their headquarters to Baltimore and become the first Am…"
-1,-1,-1,He was an AMERICAN CITIZEN born in USA and probably was a REPUBLICAN extremist #usa shame Republican spread hate #un https://t.co/0ekNOK3WMa
0,0,0,"RT @CBSNews: Pres. Biden: ""Here we stand, where 108 years ago, thousands of protesters tried to block brave women marching for the right to…"
0,0,0,RT @Cirincione: John Bolton appoints Boeing missile defense exec Mira Ricardel to his NSC staff as deputy national security advisor. Expect…
-1,-1,-1,"RT @RealJamesWoods: When will every American citizen acknowledge the absolute fact that illegal immigration is a danger, an invasion, and the greatest cultural cancer"
